title,author,length
Lucky Son of a Gun,John Conroe,Length: 8 hrs and 11 mins
A Han Yang Omnibus,Han Yang,Length: 113 hrs and 51 mins
Fake Dates and Fanged Mistakes,Alice Winters,Length: 10 hrs and 11 mins
Canines and Cocktails,"Kevin Hearne,Delilah S. Dawson,Chuck Wendig",Length: 7 hrs and 55 mins
Hexcess Baggage,Lily Harper Hart,Length: 6 hrs and 46 mins
Undead Urges,Amanda M. Lee,Length: 8 hrs and 56 mins
Fierce Obsession,S. Massery,Length: 9 hrs and 13 mins
Never Too Close,Chelle Bliss,Length: 6 hrs and 12 mins
The Path of Ascension 5,C. Mantis,Length: 27 hrs and 35 mins
Where's Molly,H. D. Carlton,Length: 5 hrs and 58 mins
Revelations,D. Petrie,Length: 14 hrs and 18 mins
Heartwood Mage,James Haddock,Length: 8 hrs and 17 mins
Between Never and Forever,Shain Rose,Length: 11 hrs and 47 mins
The Butcher Game,Alaina Urquhart,Length: Not Yet Known
Mark of the Fool 5,J.M. Clarke,Length: 18 hrs and 30 mins
Drawn By Jesus,Leighton Flowers,Length: 6 hrs and 53 mins
Releasing Maladek,Victoria Aveline,Length: 4 hrs and 57 mins
On the Same Page,Haley Cass,Length: 16 hrs and 18 mins
A Soul to Heal,Opal Reyne,Length: 20 hrs and 17 mins
Law,Neven Iliev,Length: 10 hrs and 6 mins
Valdemar,Mercedes Lackey,Length: 16 hrs and 58 mins
Never Again,R.L. Mathewson,Length: 9 hrs and 8 mins
The Wild Side,Fern Michaels,Length: 10 hrs and 49 mins
Becoming Happy & Healthy,"Jeanine Amapola,Madison Prewet Toutt",Length: 5 hrs and 18 mins
Ashborn Primordial,Vowron Prime,Length: 24 hrs and 7 mins
Mimic & Me 2,"Cassius Lange,Ryan Tang",Length: 19 hrs and 27 mins
Magdalene Nox,Milena McKay,Length: 13 hrs and 12 mins
"Questions, Quarrels, & Quandary",Tonya Kappes,Length: 4 hrs and 52 mins
Iron Flame (Part 1 of 2) (Dramatized Adaptation),Rebecca Yarros,Length: 11 hrs
Wind and Truth,Brandon Sanderson,Length: 55 hrs
Combat Love,Alisyn Camerota,Length: 8 hrs and 31 mins
The Amish Wife,Gregg Olsen,Length: 10 hrs and 10 mins
Only the Good Die Young,Julie Mulhern,Length: 1 hr and 58 mins
Bridesmaid for Hire,Meghan Quinn,Length: 13 hrs and 47 mins
Framed,"John Grisham,Jim McCloskey",Length: 12 hrs
The Witch of Webs,pirateaba,Length: 47 hrs and 18 mins
Goddess Descension,Rain Harlow,Length: 20 hrs and 3 mins
The Mage from Nowhere,B.T. Narro,Length: 18 hrs and 42 mins
The Tragedy of Felix and Jake,J. Daniels,Length: 10 hrs and 32 mins
"Overlord, Vol. 12",Kugane Maruyama,Length: 9 hrs and 6 mins
Shadowblade,"Terry Mancour,Emily Burch Harris",Length: 20 hrs and 13 mins
Eight Seconds to Ride,Ashley James,Length: 9 hrs and 19 mins
Vigor Mortis: Volume 4,"Natalie Maher,Thundamoo",Length: 21 hrs and 37 mins
An Emancipation of the Mind,Matthew Stewart,Length: 10 hrs and 42 mins
Hard Knocks,Nathan Lowell,Length: 11 hrs and 35 mins
The Mirror,Nora Roberts,Length: 14 hrs and 24 mins
Shattered Will,"J.N. Chaney,Terry Maggert",Length: 10 hrs and 9 mins
Soulbound 1: A Haremlit Fantasy Adventure,Cassius Lange,Length: 15 hrs and 17 mins
The Flame of the North,"Alexey Osadchuk,Andrew Douglas Schmitt - translator",Length: 8 hrs and 2 mins
The Wanted,"Jason Anspach,Nick Cole",Length: 13 hrs and 1 min
Ariah & Lucian,Tay Mo'Nae,Length: 9 hrs and 50 mins
My Quiet Blacksmith Life in Another World: Volume 6,Tamamaru,Length: 7 hrs and 18 mins
The Renegade Akseli Cyborg,Dianne Duvall,Length: 12 hrs and 21 mins
Lawe,Grey Huffington,Length: 9 hrs and 30 mins
Volcano Violence,Jasmine Webb,Length: 6 hrs and 28 mins
The Truth About the Devlins,Lisa Scottoline,Length: 9 hrs and 40 mins
The Songbird and the Heart of Stone,Carissa Broadbent,Length: 15 hrs and 33 mins
On the Move,Abrahm Lustgarten,Length: 10 hrs and 51 mins
What Happened to Nina?,Dervla McTiernan,Length: 10 hrs and 50 mins
Return of the Runebound Professor,Actus,Length: 21 hrs and 22 mins
Pagan America,John Daniel Davidson,Length: 10 hrs and 26 mins
The Angel of Indian Lake,"Stephen Graham Jones,Stephen King",Length: 16 hrs and 30 mins
Push,Nyla K,Length: 19 hrs and 24 mins
David Baldacci November 2024,David Baldacci,Length: 12 hrs
The Shattered Path,Edward W. Robertson,Length: 18 hrs and 40 mins
Order Out of Chaos,Scott Walker,Length: 9 hrs and 9 mins
Constant Sorrow,"J.N. Chaney,Terry Maggert",Length: 10 hrs and 18 mins
The Phalanx Code,A.J. Tata,Length: 11 hrs and 28 mins
How a Realist Hero Rebuilt the Kingdom: Volume 14,Dojyomaru,Length: 6 hrs and 13 mins
Adult Survivors of Emotionally Abusive Parents,Sherrie Campbell PhD,Length: 6 hrs and 9 mins
Hell Divers XII: Heroes,Nicholas Sansbury Smith,Length: 13 hrs
Jake's Magical Market 3,J.R. Mathews,Length: 35 hrs
Productivity Transformation in 7 Days,Kate Right,Length: 3 hrs and 13 mins
Swamp Spies,Jana DeLeon,Length: Not Yet Known
The Small and the Mighty,Sharon McMahon,Length: 10 hrs
"Reborn: Apocalypse, Volume 4",L M Kerr,Length: 22 hrs and 33 mins
Everyone Is Watching,Heather Gudenkauf,Length: 9 hrs and 2 mins
Raising Mentally Strong Kids,"Daniel G. Amen M.D.,Charles Fay Ph.D",Length: 11 hrs and 17 mins
The New Menopause,Mary Claire Haver MD,Length: 11 hrs
Deceptive Truce,Heather Long,Length: 8 hrs and 33 mins
Capture or Kill,"Vince Flynn,Don Bentley",Length: 9 hrs and 30 mins
Take Me I'm Yours,Lili Valente,Length: 9 hrs and 4 mins
We Who Wrestle with God,Jordan B. Peterson,Length: 13 hrs
Age of Revolutions,Fareed Zakaria,Length: 12 hrs and 40 mins
Passions in Death,J. D. Robb,Length: 12 hrs and 51 mins
Table for Two,Amor Towles,Length: 13 hrs and 23 mins
Shadow of Doubt,Brad Thor,Length: 11 hrs and 30 mins
Unsteady,Peyton Corinne,Length: 11 hrs and 57 mins
System Overclocked 2,Randi Darren,Length: 13 hrs and 41 mins
Without Sanction,Don Bentley,Length: 11 hrs and 6 mins
Now or Never,Janet Evanovich,Length: 8 hrs
The Waiting,Michael Connelly,Length: 12 hrs
Never Leave the Dogs Behind,Brianna Madia,Length: 5 hrs and 36 mins
System Activation,Timothy McGowen,Length: 13 hrs and 44 mins
Green Rath,Aoibh Wood,Length: 14 hrs and 8 mins
First Line of Defense 2,Benjamin Kerei,Length: 11 hrs and 7 mins
The Pope of the Holy Empire,"Doufu Mayoi,Taishi - translator",Length: 8 hrs and 49 mins
Joy and Justice,Laurence Dahners,Length: 7 hrs and 24 mins
Slow John,C.J. Petit,Length: 11 hrs and 15 mins
Just for the Summer,Abby Jimenez,Length: 11 hrs and 43 mins
Just for the Summer,Abby Jimenez,Length: 11 hrs and 43 mins
The Black Bird Oracle,Deborah Harkness,Length: 17 hrs
Own Me,K. A. Tucker,Length: 9 hrs and 23 mins
Beast: A LitRPG Adventure,V.A. Lewis,Length: 10 hrs and 48 mins
Double Lives,Mary Monroe,Length: 9 hrs and 51 mins
The Fetters of Fate,T.C. Edge,Length: 46 hrs and 7 mins
Threads of Fate,Luke Chmilenko,Length: 21 hrs and 40 mins
Tarot's Ninth Harbinger,A. F. Kay,Length: 17 hrs and 27 mins
"Pucking Ever After, Book 1",Emily Rath,Length: 3 hrs and 48 mins
Rogue Ascension 2: A Progression LitRPG,Hunter Mythos,Length: 11 hrs and 9 mins
Red Sky Mourning,Jack Carr,Length: 15 hrs and 30 mins
Nuclear War,Annie Jacobsen,Length: 11 hrs and 19 mins
All the Skills 4: A Deck-Building LitRPG,Honour Rae,Length: 14 hrs and 26 mins
Becky Lynch: The Man,Rebecca Quin,Length: 9 hrs and 58 mins
Disquiet Gods,Christopher Ruocchio,Length: 26 hrs and 15 mins
Bratva Devil,Sonja Grey,Length: 9 hrs and 25 mins
You Like It Darker,Stephen King,Length: 20 hrs
Avenging Angel,Kristen Ashley,Length: 11 hrs and 16 mins
Legend of the Arch Magus: Publisher's Pack 6,Michael Sisa,Length: 14 hrs and 40 mins
Studies at the School by the Sea,Jenny Colgan,Length: 7 hrs and 19 mins
Play Dirty,Lora Leigh,Length: 10 hrs and 17 mins
The Dead Letter Delivery,C.J. Archer,Length: 7 hrs and 53 mins
Diary of a Wimpy Kid: Hot Mess,Jeff Kinney,Length: 4 hrs and 45 mins
Co-Intelligence,Ethan Mollick,Length: 4 hrs and 39 mins
Lies I Taught in Medical School,Robert Lufkin MD,Length: 7 hrs
Love After Midnight,Sister Souljah,Length: 11 hrs
Recon,Craig Alanson,Length: 17 hrs and 53 mins
There's Always This Year,Hanif Abdurraqib,Length: 8 hrs and 40 mins
Rebel Rising,Rebel Wilson,Length: 10 hrs and 48 mins
How to Solve Your Own Murder,Kristen Perrin,Length: 10 hrs and 51 mins
Ember,"Jeffrey Wilson,Brian Andrews",Length: 13 hrs and 30 mins
City in Ruins,Don Winslow,Length: 8 hrs and 57 mins
His Fierce Mate,Julie Trettel,Length: 6 hrs
Harmony,Helen Hardt,Length: 7 hrs and 42 mins
The Power Foods Diet,"Neal Barnard,Dustin Harder,Lindsay S Nixon",Length: 5 hrs and 26 mins
Burnt,Clare Frank,Length: 11 hrs and 43 mins
Rise of the Weakest Healer 2,Blake Alexander,Length: 10 hrs and 34 mins
In Too Deep,"Lee Child,Andrew Child",Length: 10 hrs
Charlie Hustle,Keith O'Brien,Length: 14 hrs and 47 mins
Wicked Problems,Guru Madhavan,Length: 11 hrs and 24 mins
"Crafter, Part II",Gabriel Rathweg,Length: 10 hrs and 20 mins
Scavengers,Brian J. Nordon,Length: 21 hrs and 58 mins
A Governess's Guide to Passion and Peril,Manda Collins,Length: 6 hrs and 34 mins
"Nailmaker: The Reaper, an Isekai LitRPG",A. Bel,Length: 10 hrs and 45 mins
Close to Death,Anthony Horowitz,Length: 9 hrs and 12 mins
Some People Need Killing,Patricia Evangelista,Length: 11 hrs and 16 mins
The End of Everything,Victor Davis Hanson,Length: 15 hrs
The American,Jodi Ellen Malpas,Length: 23 hrs and 8 mins
A Little Bit Country,"Debbie Macomber,Lee Tobin McClain",Length: 11 hrs and 17 mins
Fruiting Bodies and Other Fungi,Brian Lumley,Length: 9 hrs and 1 min
Dawnfall,Actus,Length: 11 hrs and 31 mins
Shine,"Gino Wickman,Rob Dube",Length: 8 hrs and 46 mins
Tower of Silence,Larry Correia,Length: 16 hrs and 1 min
Twin-Shadowed Knight Parts One and Two (Dramatized Adaptation),"Hideyuki Kikuchi,Yoshitaka Amano",Length: 5 hrs and 56 mins
Cover Story,Rachel Lacey,Length: 10 hrs and 28 mins
Cheater,Karen Rose,Length: 13 hrs and 34 mins
Jesus and the Powers,"N. T. Wright,Michael F. Bird",Length: 7 hrs and 9 mins
Rainmaker,"Hughes Norton,George Peper",Length: 9 hrs and 11 mins
Advanced Chemistry,A.J. Truman,Length: 7 hrs and 36 mins
Once You're Mine,Morgan Bridges,Length: 7 hrs and 37 mins
The Wealth Money Can't Buy,Robin Sharma,Length: 7 hrs
Sylver Seeker 3,Kennit Kenway,Length: 22 hrs and 42 mins
Winter Lost,Patricia Briggs,Length: 11 hrs
Alpha Bait: Three Werewolves for Dylan,D.J. Heart,Length: 21 hrs and 23 mins
Gilded Wings,Jaymin Eve,Length: 10 hrs and 13 mins
Only Villains Do That: An Isekai Adventure,D. D. Webb,Length: 21 hrs and 1 min
The Legend of Randidly Ghosthound 6: A LitRPG Adventure,"Noret Flood,puddles4263",Length: 26 hrs and 16 mins
Storms and Secrets,Claire Kingsley,Length: 10 hrs and 41 mins
A Murder to Remember,Brynn Kelly,Length: 10 hrs and 3 mins
"I'm Rich, You're Poor",Shabaz Ali,Length: 5 hrs and 26 mins
Reading the Constitution,Stephen Breyer,Length: 12 hrs and 16 mins
Judaism Is About Love,Shai Held,Length: 15 hrs and 30 mins
An Unfinished Love Story,"Doris Kearns Goodwin,Bryan Cranston",Length: 17 hrs and 38 mins
Lethal Horizon,Jason Kasper,Length: 10 hrs and 38 mins
Dungeon Life 2,Khenal,Length: 15 hrs and 5 mins
Takeover,Timothy W. Ryback,Length: 11 hrs and 6 mins
"Clear Mind, Peaceful Heart",Lysa TerKeurst,Length: 3 hrs and 49 mins
Leather & Lark,Brynne Weaver,Length: Not Yet Known
Rabbit Heart,Kristine S. Ervin,Length: 10 hrs and 2 mins
Ryder,Jacki James,Length: 4 hrs and 30 mins
Hateful Prince,"Meg Anne,K. Loraine",Length: 9 hrs and 24 mins
Amelia the Level Zero Hero 3: A LitRPG Adventure,V.A. Lewis,Length: 11 hrs and 5 mins
Heat of the Everflame,Penn Cole,Length: 34 hrs and 29 mins
We Solve Murders,Richard Osman,Length: 14 hrs
Columbine 25th Anniversary Memorial Edition,Dave Cullen,Length: 16 hrs and 9 mins
Starting Over,Kay Bratt,Length: 6 hrs and 36 mins
First Frost,Craig Johnson,Length: 11 hrs and 45 mins
Diavola,Jennifer Thorne,Length: 10 hrs and 10 mins
The Thief,Dannika Dark,Length: 10 hrs and 35 mins
Mother of the Bride,Samantha Hayes,Length: 9 hrs and 51 mins
The Art of War,Sun Tzu,Length: 1 hr and 9 mins
Road of Skulls,Josh Reynolds,Length: 12 hrs and 18 mins
Defiance of the Fall 12,"TheFirstDefier,JF Brink",Length: 26 hrs and 24 mins
A Calamity of Souls,David Baldacci,Length: 12 hrs
Death in the Spires,KJ Charles,Length: 9 hrs and 8 mins
Global DifFusion,Jonathan Brooks,Length: 20 hrs and 39 mins
Herod the Great,Martin Goodman,Length: 6 hrs
God Gave Rock and Roll to You,Leah Payne,Length: 10 hrs and 37 mins
The Dream Dancers: Akashic Chronicles,Steven P Aitchison,Length: 2 hrs and 56 mins
Good Energy,Casey Means MD,Length: 9 hrs
Albert Smith's Culinary Capers,Steve Higgs,Length: 34 hrs and 7 mins
Chasing Beauty,Natalie Dykstra,Length: 15 hrs and 57 mins
Dark Reckoning,Nicholas Bella,Length: 6 hrs and 48 mins
Fire and Fury,"Christopher Hopper,J.N. Chaney",Length: 13 hrs and 49 mins
But Everyone Feels This Way,Paige Layle,Length: 8 hrs and 53 mins
A Game of Deceit and Desire,Ruby Roe,Length: 10 hrs and 28 mins
"The Good, the Bad, and the Aunties",Jesse Q. Sutanto,Length: 9 hrs and 23 mins
The Lady's Guide to Well-Endowed Dukes,Emmanuelle de Maupassant,Length: 4 hrs and 2 mins
Million-Dollar Habits,Rachel Rodgers,Length: 2 hrs and 3 mins
The Kingpin,Piper Stone,Length: 9 hrs and 22 mins
Pride and Prejudice,Jane Austen,Length: 11 hrs and 35 mins
Stay with Me,"Brooke Montgomery,Brooke Cumberland",Length: 11 hrs and 19 mins
Panu: An Apocalypse LitRPG,Ranyhin1,Length: 17 hrs and 51 mins
Worry,Alexandra Tanner,Length: 7 hrs and 13 mins
Drive,Bob Harig,Length: 9 hrs and 34 mins
Where Foxes Say Goodnight,Sam Burns,Length: 6 hrs and 5 mins
The 24th Hour,"James Patterson,Maxine Paetro",Length: 8 hrs
ADHD Is Awesome,"Penn Holderness,Kim Holderness",Length: 8 hrs and 48 mins
The Truths We Burn,Monty Jay,Length: 13 hrs and 19 mins
A Forgotten Kill,Isabella Maldonado,Length: 10 hrs and 53 mins
A Trace of Hares,Sarah Yarwood-Lovett,Length: 10 hrs and 12 mins
The Witless Protection Program,Maria DiRico,Length: 8 hrs and 13 mins
Gravesong,pirateaba,Length: 17 hrs and 48 mins
The Algebra of Wealth,Scott Galloway,Length: 10 hrs
Think Twice,Harlan Coben,Length: 10 hrs
The Mercy of Gods,James S.A. Corey,Length: 18 hrs and 30 mins
Children of Dune,Frank Herbert,Length: 16 hrs and 51 mins
Don’t Date a DILF,DJ Jamison,Length: 9 hrs and 37 mins
Red Dead's History,Tore C. Olsson,Length: 8 hrs and 30 mins
After 1177 B.C.,Eric H. Cline,Length: 9 hrs and 18 mins
Apples Never Fall,Liane Moriarty,Length: 18 hrs and 3 mins
A King to Be Feared,Brea Alepoú,Length: 6 hrs and 2 mins
Games Untold,Jennifer Lynn Barnes,Length: 9 hrs
Death Unbound,Richard Amos,Length: 7 hrs and 23 mins
Only Exceedingly Shy,Jann Rowland,Length: 6 hrs and 34 mins
Dead and Buried,John Carson,Length: 6 hrs and 59 mins
The Lies in the Falls,Elle Gray,Length: 7 hrs and 19 mins
Camino Ghosts,John Grisham,Length: 9 hrs
The Anxious Generation,Jonathan Haidt,Length: 10 hrs and 32 mins
Reckless,Lauren Roberts,Length: 11 hrs
"Overlord, Vol. 13","Kugane Maruyama,so-bin - illustrator,Emily Balistrieri - translator",Length: 10 hrs
If You Hate Me,Helena Hunting,Length: 13 hrs and 14 mins
Angel of Vengeance,"Douglas Preston,Lincoln Child",Length: 14 hrs
Reject Me,"Kel Carpenter,Aurelia Jane",Length: 11 hrs and 59 mins
Wicked Demands,Jordan Marie,Length: 11 hrs and 52 mins
"An Ideal World for a Sociopath, Book 1","Oleg Sapphire,Colin Parker - Translated by",Length: 9 hrs and 3 mins
BuyMort: Bull Market Mayhem: How I Cornered the Multiversal Monopoly,"Damien Hanson,Joseph Phelps",Length: 19 hrs and 8 mins
Four Minutes,"Jeffrey Wilson,Brian Andrews",Length: 10 hrs and 53 mins
Pursued by Peril,Lindsay Buroker,Length: 9 hrs and 20 mins
Shopping All the Way to the Woods,Rachel S. Gross,Length: 9 hrs and 36 mins
Born of Blood and Ash,Jennifer L. Armentrout,Length: 24 hrs
Avatar,Seth Ring,Length: 14 hrs
Callis and Toll,David Annandale,Length: 9 hrs and 32 mins
The Score That Matters,"Ryan Hawk,Brook Cupps",Length: 6 hrs and 50 mins
Childe Roland,J. M. Nelson,Length: 3 hrs and 56 mins
The Emperor and the Endless Palace,Justinian Huang,Length: 9 hrs and 52 mins
A-Game Poker,"Elliot Roe,Ryan Carter",Length: 6 hrs and 45 mins
The Demon of Unrest,Erik Larson,Length: 15 hrs
Xeda,Olivia Riley,Length: 8 hrs and 47 mins
Revolt,K.A. Knight,Length: 14 hrs and 33 mins
Bad Therapy,Abigail Shrier,Length: 8 hrs and 56 mins
The Boatmen,Jerry Boyd,Length: 9 hrs and 3 mins
Day Trading Attention,Gary Vaynerchuk,Length: 7 hrs and 45 mins
The Zero Percent,Du'Vaul Dey,Length: 8 hrs
Scandal,Piper Stone,Length: 12 hrs and 11 mins
The City and Its Uncertain Walls,"Haruki Murakami,Philip Gabriel - translator",Length: 15 hrs
Dragon Wars Omnibus: 20-Book Collection,Craig Halloran,Length: 128 hrs and 14 mins
The Advisor Transformation,Shawn Sparks,Length: 7 hrs and 12 mins
